江西电信-组播1,#genre#
CGTN阿拉伯语,http://220.176.218.232:9000/udp/239.252.219.66:5140$江西电信
CCTV4K超高清,http://220.176.218.232:9000/udp/239.252.219.60:5140$江西电信
华数4K电影,http://220.176.218.232:9000/udp/239.252.220.212:5140$江西电信
昌飞航空,http://220.176.218.232:9000/udp/239.252.220.47:5140$江西电信
中国天气,http://220.176.218.232:9000/udp/239.252.219.143:5140$江西电信
哈哈炫动,http://220.176.218.232:9000/udp/239.252.219.43:5140$江西电信
卡酷少儿,http://220.176.218.232:9000/udp/239.252.219.109:5140$江西电信
嘉佳卡通,http://220.176.218.232:9000/udp/239.252.219.92:5140$江西电信
新动漫,http://220.176.218.232:9000/udp/239.252.220.132:5140$江西电信
华数少儿动画,http://220.176.218.232:9000/udp/239.252.220.136:5140$江西电信
华数动画,http://220.176.218.232:9000/udp/239.252.219.165:5140$江西电信
华数魅力时尚,http://220.176.218.232:9000/udp/239.252.220.137:5140$江西电信
华数热播剧场,http://220.176.218.232:9000/udp/239.252.220.138:5140$江西电信
华数经典电影,http://220.176.218.232:9000/udp/239.252.220.139:5140$江西电信
华数城市剧场,http://220.176.218.232:9000/udp/239.252.220.75:5140$江西电信
华数军旅剧场,http://220.176.218.232:9000/udp/239.252.220.76:5140$江西电信
华数古装剧场,http://220.176.218.232:9000/udp/239.252.220.77:5140$江西电信
华数武侠剧场,http://220.176.218.232:9000/udp/239.252.220.88:5140$江西电信
华数喜剧影院,http://220.176.218.232:9000/udp/239.252.220.79:5140$江西电信
华数动作影院,http://220.176.218.232:9000/udp/239.252.220.85:5140$江西电信
华数碟战剧场,http://220.176.218.232:9000/udp/239.252.220.145:5140$江西电信
华数星影,http://220.176.218.232:9000/udp/239.252.220.210:5140$江西电信
华数精选,http://220.176.218.232:9000/udp/239.252.219.161:5140$江西电信
家庭影院,http://220.176.218.232:9000/udp/239.252.220.86:5140$江西电信
IPTV6华数电影,http://220.176.218.232:9000/udp/239.252.220.142:5140$江西电信
IPTV3综艺,http://220.176.218.232:9000/udp/239.252.220.140:5140$江西电信
IPTV5体育,http://220.176.218.232:9000/udp/239.252.220.211:5140$江西电信
IPTV7军事,http://220.176.218.232:9000/udp/239.252.220.206:5140$江西电信
IPTV8电视剧,http://220.176.218.232:9000/udp/239.252.220.143:5140$江西电信
IPTV收视指南,http://220.176.218.232:9000/udp/239.252.220.144:5140$江西电信
IPTV相声小品,http://220.176.218.232:9000/udp/239.252.220.146:5140$江西电信
IPTV10野外,http://220.176.218.232:9000/udp/239.252.220.73:5140$江西电信
IPTV11戏曲,http://220.176.218.232:9000/udp/239.252.219.163:5140$江西电信
IPTV12法治,http://220.176.218.232:9000/udp/239.252.220.74:5140$江西电信
IPTV14早教,http://220.176.218.232:9000/udp/239.252.219.164:5140$江西电信
IPTV15音乐,http://220.176.218.232:9000/udp/239.252.220.87:5140$江西电信
IPTV爱生活,http://220.176.218.232:9000/udp/239.252.220.89:5140$江西电信
IPTV好学生,http://220.176.218.232:9000/udp/239.252.220.90:5140$江西电信
IPTV鉴赏,http://220.176.218.232:9000/udp/239.252.219.166:5140$江西电信
IPTV墨宝,http://220.176.218.232:9000/udp/239.252.219.168:5140$江西电信
IPTV美人,http://220.176.218.232:9000/udp/239.252.220.202:5140$江西电信
IPTV足球,http://220.176.218.232:9000/udp/239.252.220.205:5140$江西电信
IPTV地理,http://220.176.218.232:9000/udp/239.252.220.207:5140$江西电信
IPTV美妆,http://220.176.218.232:9000/udp/239.252.220.208:5140$江西电信
IPTV解密,http://220.176.218.232:9000/udp/239.252.220.209:5140$江西电信
光影,http://220.176.218.232:9000/udp/239.252.220.200:5140$江西电信

