云南电信-组播1,#genre#
玉溪华宁,http://106.59.2.113:55555/udp/239.200.201.193:8572$云南电信
玉溪峨山,http://106.59.2.113:55555/udp/239.200.201.194:8564$云南电信
玉溪新平,http://106.59.2.113:55555/udp/239.200.201.198:8568$云南电信
玉溪易门,http://106.59.2.113:55555/udp/239.200.201.195:8576$云南电信
玉溪江川,http://106.59.2.113:55555/udp/239.200.201.197:8544$云南电信
玉溪澄江,http://106.59.2.113:55555/udp/239.200.201.196:8548$云南电信
玉溪红塔,http://106.59.2.113:55555/udp/239.200.200.211:8540$云南电信
玉溪通海,http://106.59.2.113:55555/udp/239.200.201.192:8552$云南电信
电信宣传,http://106.59.2.113:55555/udp/239.200.201.151:8604$云南电信
电信宣传,http://106.59.2.113:55555/udp/239.200.201.48:8820$云南电信
电影1,http://106.59.2.113:55555/udp/239.200.200.73:9024$云南电信
电影2,http://106.59.2.113:55555/udp/239.200.200.77:9016$云南电信
电视剧1,http://106.59.2.113:55555/udp/239.200.200.78:1234$云南电信
电视剧2,http://106.59.2.113:55555/udp/239.200.200.11:8072$云南电信
电视剧3,http://106.59.2.113:55555/udp/239.200.200.74:9012$云南电信
电视剧4,http://106.59.2.113:55555/udp/239.200.200.72:9020$云南电信
红河个旧,http://106.59.2.113:55555/udp/239.200.201.87:8248$云南电信
红河建水,http://106.59.2.113:55555/udp/239.200.200.158:8758$云南电信
红河开远,http://106.59.2.113:55555/udp/239.200.201.88:8252$云南电信
红河弥勒,http://106.59.2.113:55555/udp/239.200.201.132:8380$云南电信
红河河口,http://106.59.2.113:55555/udp/239.200.200.177:8408$云南电信
红河泸西,http://106.59.2.113:55555/udp/239.200.201.118:8392$云南电信
红河红河县,http://106.59.2.113:55555/udp/239.200.201.166:8400$云南电信
红河蒙自,http://106.59.2.113:55555/udp/239.200.201.148:8376$云南电信
红河金平,http://106.59.2.113:55555/udp/239.200.201.131:8404$云南电信
自然传奇,http://106.59.2.113:55555/udp/239.200.200.80:1234$云南电信
西双版纳勐腊,http://106.59.2.113:55555/udp/239.200.201.54:8040$云南电信
迪庆综合,http://106.59.2.113:55555/udp/239.200.200.118:8440$云南电信
迪庆藏语,http://106.59.2.113:55555/udp/239.200.200.149:8441$云南电信
CCTV1,http://106.59.2.113:55555/udp/239.200.200.2:8080$云南电信
CETV1,http://106.59.2.113:55555/udp/239.200.201.145:8852$云南电信
CETV2,http://106.59.2.113:55555/udp/239.200.201.121:8780$云南电信
书法频道,http://106.59.2.113:55555/udp/239.200.201.133:8072$云南电信
环球旅游,http://106.59.2.113:55555/udp/239.200.201.175:8652$云南电信
生态环境,http://106.59.2.113:55555/udp/239.200.201.172:8648$云南电信
新动漫,http://106.59.2.113:55555/udp/239.200.201.32:4120$云南电信
优优宝贝,http://106.59.2.113:55555/udp/239.200.201.173:8644$云南电信
先锋乒羽,http://106.59.2.113:55555/udp/239.200.201.33:4120$云南电信
重庆卫视,http://106.59.2.113:55555/udp/239.200.200.49:8264$云南电信
内蒙古卫视,http://106.59.2.113:55555/udp/239.200.200.57:8296$云南电信
宁夏卫视,http://106.59.2.113:55555/udp/239.200.200.60:8308$云南电信
新疆卫视,http://106.59.2.113:55555/udp/239.200.200.62:8316$云南电信
西藏卫视,http://106.59.2.113:55555/udp/239.200.200.61:8312$云南电信
三沙卫视,http://106.59.2.113:55555/udp/239.200.201.136:8140$云南电信
嘉佳卡通,http://106.59.2.113:55555/udp/239.200.200.229:8372$云南电信
卡酷少儿,http://106.59.2.113:55555/udp/239.200.200.64:8324$云南电信
优购物,http://106.59.2.113:55555/udp/239.200.200.214:8728$云南电信
家有购物,http://106.59.2.113:55555/udp/239.200.200.228:9004$云南电信
CCTN,http://106.59.2.113:55555/udp/239.200.200.30:8500$云南电信
中华特产,http://106.59.2.113:55555/udp/239.200.201.155:8124$云南电信
临沧云县,http://106.59.2.113:55555/udp/239.200.201.10:8518$云南电信
临沧凤庆,http://106.59.2.113:55555/udp/239.200.201.23:8498$云南电信
临沧沧源,http://106.59.2.113:55555/udp/239.200.201.19:8534$云南电信
央购物,http://106.59.2.113:55555/udp/239.200.200.174:8772$云南电信
收藏天下,http://106.59.2.113:55555/udp/239.200.201.214:8700$云南电信
昭通彝良,http://106.59.2.113:55555/udp/239.200.200.175:8360$云南电信
楚雄元谋,http://106.59.2.113:55555/udp/239.200.201.59:8782$云南电信
云南电信-组播2,#genre#
CCTV1,http://106.59.2.54:55555/udp/239.200.201.135:8880$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.97:8108$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.210:8888$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.113:8512$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.89:8024$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.130:8012$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.189:8148$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.100:8084$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.70:8008$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.82:8004$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.177:8656$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.208:8688$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.92:8028$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.88:8020$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.202:8760$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.212:8720$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.84:8016$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.146:8136$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.125:8654$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.95:8044$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.93:8088$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.119:8444$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.135:8076$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.86:8008$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.169:8402$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.14:8852$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.116:8412$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.209:8976$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.83:8000$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.204:8708$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.85:8032$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.123:8612$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.120:8401$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.136:8060$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.174:8640$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.45:8800$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.94:8100$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.196:8128$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.111:8116$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.167:8596$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.98:8052$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.211:8888$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.117:8712$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.201.41:8520$云南电信
CCTV1,http://106.59.2.54:55555/udp/239.200.200.206:8144$云南电信
CCTV2,http://106.59.2.54:55555/udp/239.200.200.104:8084$云南电信
CCTV3,http://106.59.2.54:55555/udp/239.200.200.18:9008$云南电信
CCTV3,http://106.59.2.54:55555/udp/239.200.200.71:8012$云南电信
CCTV3,http://106.59.2.54:55555/udp/239.200.200.76:9004$云南电信
CCTV4,http://106.59.2.54:55555/udp/239.200.200.128:8652$云南电信
CCTV4欧洲,http://106.59.2.54:55555/udp/239.200.201.180:4220$云南电信
CCTV4美洲,http://106.59.2.54:55555/udp/239.200.201.181:4220$云南电信
CCTV5,http://106.59.2.54:55555/udp/239.200.201.5:4120$云南电信
CCTV5,http://106.59.2.54:55555/udp/239.200.200.20:9016$云南电信
CCTV5,http://106.59.2.54:55555/udp/239.200.201.81:4120$云南电信
CCTV5,http://106.59.2.54:55555/udp/239.200.200.10:9008$云南电信
CCTV5+,http://106.59.2.54:55555/udp/239.200.200.9:8004$云南电信
CCTV6,http://106.59.2.54:55555/udp/239.200.200.21:9020$云南电信
CCTV7,http://106.59.2.54:55555/udp/239.200.200.105:8104$云南电信
CCTV8,http://106.59.2.54:55555/udp/239.200.200.23:9028$云南电信
CCTV9,http://106.59.2.54:55555/udp/239.200.200.106:8112$云南电信
CCTV10,http://106.59.2.54:55555/udp/239.200.200.107:8116$云南电信
CCTV11,http://106.59.2.54:55555/udp/239.200.201.125:8480$云南电信
CCTV12,http://106.59.2.54:55555/udp/239.200.200.108:8124$云南电信
CCTV12,http://106.59.2.54:55555/udp/239.200.200.81:1234$云南电信
