贵州电信-组播1,#genre#
CCTV6,http://61.159.135.207:4022/udp/238.255.2.135:5999$贵州电信
CCTV7,http://61.159.135.207:4022/udp/238.255.2.12:5999$贵州电信
CCTV8,http://61.159.135.207:4022/udp/238.255.2.136:5999$贵州电信
CCTV9,http://61.159.135.207:4022/udp/238.255.2.155:5999$贵州电信
CCTV10,http://61.159.135.207:4022/udp/238.255.2.13:5999$贵州电信
CCTV11,http://61.159.135.207:4022/udp/238.255.2.14:5999$贵州电信
CCTV12,http://61.159.135.207:4022/udp/238.255.2.15:5999$贵州电信
CCTV13,http://61.159.135.207:4022/udp/238.255.2.16:5999$贵州电信
CCTV14,http://61.159.135.207:4022/udp/238.255.2.17:5999$贵州电信
CCTV15,http://61.159.135.207:4022/udp/238.255.2.18:5999$贵州电信
CCTV17,http://61.159.135.207:4022/udp/238.255.2.137:5999$贵州电信
CETV1,http://61.159.135.207:4022/udp/238.255.2.105:5999$贵州电信
CETV4,http://61.159.135.207:4022/udp/238.255.2.222:5999$贵州电信
CETV早期教育,http://61.159.135.207:4022/udp/238.255.2.143:5999$贵州电信
CGTN,http://61.159.135.207:4022/udp/238.255.2.207:5999$贵州电信
CGTN,http://61.159.135.207:4022/udp/238.255.2.146:5999$贵州电信
CGTN阿语,http://61.159.135.207:4022/udp/238.255.2.211:5999$贵州电信
CGTN俄语,http://61.159.135.207:4022/udp/238.255.2.210:5999$贵州电信
CGTN西语,http://61.159.135.207:4022/udp/238.255.2.209:5999$贵州电信
CGTN法语,http://61.159.135.207:4022/udp/238.255.2.208:5999$贵州电信
第一剧场,http://61.159.135.207:4022/udp/238.255.2.25:5999$贵州电信
风云剧场,http://61.159.135.207:4022/udp/238.255.2.28:5999$贵州电信
风云足球,http://61.159.135.207:4022/udp/238.255.2.29:5999$贵州电信
风云音乐,http://61.159.135.207:4022/udp/238.255.2.24:5999$贵州电信
世界地理,http://61.159.135.207:4022/udp/238.255.2.26:5999$贵州电信
怀旧剧场,http://61.159.135.207:4022/udp/238.255.2.33:5999$贵州电信
兵器科技,http://61.159.135.207:4022/udp/238.255.2.34:5999$贵州电信
女性时尚,http://61.159.135.207:4022/udp/238.255.2.27:5999$贵州电信
高尔夫网球,http://61.159.135.207:4022/udp/238.255.2.223:5999$贵州电信
央视台球,http://61.159.135.207:4022/udp/238.255.2.224:5999$贵州电信
央视文化精品,http://61.159.135.207:4022/udp/238.255.2.32:5999$贵州电信
天元围棋,http://61.159.135.207:4022/udp/238.255.2.7:5999$贵州电信
卫生健康,http://61.159.135.207:4022/udp/238.255.2.144:5999$贵州电信
重庆卫视,http://61.159.135.207:4022/udp/238.255.2.78:5999$贵州电信
江苏卫视,http://61.159.135.207:4022/udp/238.255.2.104:5999$贵州电信
浙江卫视,http://61.159.135.207:4022/udp/238.255.2.100:5999$贵州电信
东方卫视,http://61.159.135.207:4022/udp/238.255.2.98:5999$贵州电信
深圳卫视,http://61.159.135.207:4022/udp/238.255.2.61:5999$贵州电信
北京卫视,http://61.159.135.207:4022/udp/238.255.2.81:5999$贵州电信
山东卫视,http://61.159.135.207:4022/udp/238.255.2.97:5999$贵州电信
天津卫视,http://61.159.135.207:4022/udp/238.255.2.99:5999$贵州电信
贵州卫视,http://61.159.135.207:4022/udp/238.255.2.1:5999$贵州电信
贵州卫视,http://61.159.135.207:4022/udp/238.255.2.147:5999$贵州电信
四川卫视,http://61.159.135.207:4022/udp/238.255.2.76:5999$贵州电信
云南卫视,http://61.159.135.207:4022/udp/238.255.2.63:5999$贵州电信
黑龙江卫视,http://61.159.135.207:4022/udp/238.255.2.96:5999$贵州电信
安徽卫视,http://61.159.135.207:4022/udp/238.255.2.101:5999$贵州电信
江西卫视,http://61.159.135.207:4022/udp/238.255.2.94:5999$贵州电信
湖北卫视,http://61.159.135.207:4022/udp/238.255.2.102:5999$贵州电信
旅游卫视,http://61.159.135.207:4022/udp/238.255.2.58:5999$贵州电信
东南卫视,http://61.159.135.207:4022/udp/238.255.2.103:5999$贵州电信
吉林卫视,http://61.159.135.207:4022/udp/238.255.2.95:5999$贵州电信
辽宁卫视,http://61.159.135.207:4022/udp/238.255.2.69:5999$贵州电信
湖南卫视,http://61.159.135.207:4022/udp/238.255.2.93:5999$贵州电信
广东卫视,http://61.159.135.207:4022/udp/238.255.2.59:5999$贵州电信
河南卫视,http://61.159.135.207:4022/udp/238.255.2.74:5999$贵州电信
河北卫视,http://61.159.135.207:4022/udp/238.255.2.77:5999$贵州电信
宁夏卫视,http://61.159.135.207:4022/udp/238.255.2.75:5999$贵州电信
甘肃卫视,http://61.159.135.207:4022/udp/238.255.2.73:5999$贵州电信
青海卫视,http://61.159.135.207:4022/udp/238.255.2.51:5999$贵州电信
新疆卫视,http://61.159.135.207:4022/udp/238.255.2.66:5999$贵州电信
西藏卫视,http://61.159.135.207:4022/udp/238.255.2.65:5999$贵州电信
兵团卫视,http://61.159.135.207:4022/udp/238.255.2.67:5999$贵州电信
金鹰卡通,http://61.159.135.207:4022/udp/238.255.2.55:5999$贵州电信
卡酷少儿,http://61.159.135.207:4022/udp/238.255.2.106:5999$贵州电信
卡酷少儿,http://61.159.135.207:4022/udp/238.255.2.80:5999$贵州电信
山东教育卫视,http://61.159.135.207:4022/udp/238.255.2.79:5999$贵州电信
北京纪实科教,http://61.159.135.207:4022/udp/238.255.2.107:5999$贵州电信
家有购物,http://61.159.135.207:4022/udp/238.255.2.10:5999$贵州电信
六盘水综合,http://61.159.135.207:4022/udp/238.255.2.115:5999$贵州电信
多彩贵州,http://61.159.135.207:4022/udp/238.255.2.206:5999$贵州电信
安顺综合,http://61.159.135.207:4022/udp/238.255.2.157:5999$贵州电信
彩条测试,http://61.159.135.207:4022/udp/238.255.2.154:5999$贵州电信
毕节-1,http://61.159.135.207:4022/udp/238.255.2.131:5999$贵州电信
毕节黔西1,http://61.159.135.207:4022/udp/238.255.2.161:5999$贵州电信
综合频道,http://61.159.135.207:4022/udp/238.255.2.153:5999$贵州电信
贵州2公共,http://61.159.135.207:4022/udp/238.255.2.2:5999$贵州电信
贵州3影视文艺,http://61.159.135.207:4022/udp/238.255.2.3:5999$贵州电信
贵州4大众生活,http://61.159.135.207:4022/udp/238.255.2.4:5999$贵州电信
贵州5生态乡村,http://61.159.135.207:4022/udp/238.255.2.5:5999$贵州电信
贵州6科教,http://61.159.135.207:4022/udp/238.255.2.6:5999$贵州电信
贵州7经济,http://61.159.135.207:4022/udp/238.255.2.9:5999$贵州电信
贵州宣传,http://61.159.135.207:4022/udp/238.255.2.163:5999$贵州电信
贵州宣传,http://61.159.135.207:4022/udp/238.255.2.141:5999$贵州电信
贵州宣传2,http://61.159.135.207:4022/udp/238.255.2.152:5999$贵州电信
贵州宣传3,http://61.159.135.207:4022/udp/238.255.2.112:5999$贵州电信
贵州宣传4,http://61.159.135.207:4022/udp/238.255.2.202:5999$贵州电信
贵州宣传5,http://61.159.135.207:4022/udp/238.255.2.142:5999$贵州电信
贵阳,http://61.159.135.207:4022/udp/238.255.2.19:5999$贵州电信
铜仁-1,http://61.159.135.207:4022/udp/238.255.2.31:5999$贵州电信
黔东南凯里,http://61.159.135.207:4022/udp/238.255.2.180:5999$贵州电信
黔东南综合,http://61.159.135.207:4022/udp/238.255.2.179:5999$贵州电信
黔东南雷山综合,http://61.159.135.207:4022/udp/238.255.2.128:5999$贵州电信
黔南,http://61.159.135.207:4022/udp/238.255.2.150:5999$贵州电信
黔南瓮安县,http://61.159.135.207:4022/udp/238.255.2.216:5999$贵州电信
黔西南综合,http://61.159.135.207:4022/udp/238.255.2.126:5999$贵州电信
CCTV1,http://61.159.135.207:4022/udp/238.255.2.218:5999$贵州电信
CETV2,http://61.159.135.207:4022/udp/238.255.2.221:5999$贵州电信
CGTN,http://61.159.135.207:4022/udp/238.255.2.178:5999$贵州电信
CGTN纪录,http://61.159.135.207:4022/udp/238.255.2.172:5999$贵州电信
中视购物,http://61.159.135.207:4022/udp/238.255.2.44:5999$贵州电信
书法频道,http://61.159.135.207:4022/udp/238.255.2.177:5999$贵州电信
环球奇观,http://61.159.135.207:4022/udp/238.255.2.43:5999$贵州电信
国学频道,http://61.159.135.207:4022/udp/238.255.2.176:5999$贵州电信
中国交通,http://61.159.135.207:4022/udp/238.255.2.220:5999$贵州电信
广西卫视,http://61.159.135.207:4022/udp/238.255.2.64:5999$贵州电信
山西卫视,http://61.159.135.207:4022/udp/238.255.2.71:5999$贵州电信
陕西卫视,http://61.159.135.207:4022/udp/238.255.2.72:5999$贵州电信
厦门卫视,http://61.159.135.207:4022/udp/238.255.2.205:5999$贵州电信
内蒙古卫视,http://61.159.135.207:4022/udp/238.255.2.53:5999$贵州电信
三沙卫视,http://61.159.135.207:4022/udp/238.255.2.203:5999$贵州电信
康巴卫视,http://61.159.135.207:4022/udp/238.255.2.140:5999$贵州电信
延边卫视,http://61.159.135.207:4022/udp/238.255.2.57:5999$贵州电信
延边卫视,http://61.159.135.207:4022/udp/238.255.2.204:5999$贵州电信
嘉佳卡通,http://61.159.135.207:4022/udp/238.255.2.62:5999$贵州电信
重庆汽摩,http://61.159.135.207:4022/udp/238.255.2.148:5999$贵州电信
CGTV法语,http://61.159.135.207:4022/udp/238.255.2.83:5999$贵州电信
中央新影中学生,http://61.159.135.207:4022/udp/238.255.2.181:5999$贵州电信
中央新影发现之旅,http://61.159.135.207:4022/udp/238.255.2.184:5999$贵州电信
中央新影老故事,http://61.159.135.207:4022/udp/238.255.2.35:5999$贵州电信
农林卫视,http://61.159.135.207:4022/udp/238.255.2.120:5999$贵州电信
安多卫视,http://61.159.135.207:4022/udp/238.255.2.189:5999$贵州电信
待确认,http://61.159.135.207:4022/udp/238.255.2.162:5999$贵州电信
西藏卫视藏语,http://61.159.135.207:4022/udp/238.255.2.23:5999$贵州电信
贵州移动电视,http://61.159.135.207:4022/udp/238.255.2.117:5999$贵州电信
贵州3影视,http://61.159.135.207:4022/udp/238.255.2.159:5999$贵州电信
贵州3影视,http://61.159.135.207:4022/udp/238.255.2.187:5999$贵州电信
贵州3影视,http://61.159.135.207:4022/udp/238.255.2.200:5999$贵州电信
贵州3影视,http://61.159.135.207:4022/udp/238.255.2.183:5999$贵州电信
