上海联通-组播1,#genre#
哈哈炫动,http://139.227.112.187:8001/udp/233.18.204.7:5140$上海联通
卡酷少儿,http://139.227.112.187:8001/udp/233.18.204.152:5140$上海联通
上海都市,http://139.227.112.187:8001/udp/233.18.204.2:5140$上海联通
东方影视,http://139.227.112.187:8001/udp/233.18.204.4:5140$上海联通
上海教育,http://139.227.112.187:8001/udp/233.18.204.11:5140$上海联通
第一财经,http://139.227.112.187:8001/udp/233.18.204.5:5140$上海联通
东方购物,http://139.227.112.187:8001/udp/233.18.204.9:5140$上海联通
东方购物,http://139.227.112.187:8001/udp/233.18.204.10:5140$上海联通
五星体育,http://139.227.112.187:8001/udp/233.18.204.6:5140$上海联通
财富天下,http://139.227.112.187:8001/udp/233.18.204.41:5140$上海联通
央广购物,http://139.227.112.187:8001/udp/233.18.204.15:5140$上海联通
上海新闻综合,http://139.227.112.187:8001/udp/233.18.204.189:5140$上海联通
好享购物,http://139.227.112.187:8001/udp/233.18.204.36:5140$上海联通
家庭理财,http://139.227.112.187:8001/udp/233.18.204.157:5140$上海联通
未知节目,http://139.227.112.187:8001/udp/233.18.204.203:5140$上海联通
渐江卫视,http://139.227.112.187:8001/udp/233.18.204.121:5140$上海联通
无信号,http://139.227.112.187:8001/udp/233.18.204.216:5140$上海联通
无信号,http://139.227.112.187:8001/udp/233.18.204.208:5140$上海联通
